日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-05-23,'000001,平安银行,10.65,10.82,10.62,10.82,10.86,-0.21,-1.9337,0.5772,99101629,1058587812.32,1.82864881048e+11,1.82863218104e+11
2018-05-22,'000001,平安银行,10.86,10.98,10.79,10.95,10.95,-0.09,-0.8219,0.3435,58987185,639815249.44,1.86470667435e+11,1.864689717e+11
2018-05-21,'000001,平安银行,10.95,11.11,10.93,11.07,10.96,-0.01,-0.0912,0.4447,76353357,838750577.65,1.88016004458e+11,1.8801429467e+11
2018-05-18,'000001,平安银行,10.96,10.97,10.76,10.81,10.82,0.14,1.2939,0.3419,57838477,628250184.92,1.88187708571e+11,1.85421359328e+11
2018-05-17,'000001,平安银行,10.82,10.94,10.78,10.91,10.9,-0.08,-0.7339,0.3467,58649438,635675440.98,1.8578385098e+11,1.83052838315e+11
2018-05-16,'000001,平安银行,10.9,11.07,10.89,11.07,11.12,-0.22,-1.9784,0.4222,71436208,782694669.69,1.87157483889e+11,1.84406278894e+11
2018-05-15,'000001,平安银行,11.12,11.19,11.02,11.18,11.18,-0.06,-0.5367,0.3956,66926144,742590447.65,1.9093497439e+11,1.88128240487e+11
2018-05-14,'000001,平安银行,11.18,11.23,11.03,11.09,11.01,0.17,1.5441,0.6143,103929716,1158064201.07,1.91965199072e+11,1.89143320921e+11
2018-05-11,'000001,平安银行,11.01,11.13,10.96,11.04,11.01,0.0,0.0,0.4565,77236966,853271166.64,1.8904622914e+11,1.8626725969e+11
2018-05-10,'000001,平安银行,11.01,11.09,10.91,11.03,10.97,0.04,0.3646,0.3267,55273588,607349997.23,1.8904622914e+11,1.8626725969e+11
2018-05-09,'000001,平安银行,10.97,11.03,10.88,10.98,11.01,-0.04,-0.3633,0.371,62765613,687036874.44,1.88359412685e+11,1.85590539401e+11
2018-05-08,'000001,平安银行,11.01,11.15,10.8,10.83,10.81,0.2,1.8501,0.8117,137330568,1511546681.16,1.8904622914e+11,1.8626725969e+11
2018-05-07,'000001,平安银行,10.81,10.83,10.64,10.7,10.68,0.13,1.2172,0.5759,97430967,1046743101.92,1.85612146866e+11,1.82883658243e+11
2018-05-04,'000001,平安银行,10.68,10.83,10.66,10.73,10.75,-0.07,-0.6512,0.42,71050952,761302468.67,1.83379993389e+11,1.80684317302e+11
2018-05-03,'000001,平安银行,10.75,10.88,10.57,10.86,10.88,-0.13,-1.1949,0.7574,128135557,1372765845.83,1.84581922184e+11,1.81868577808e+11
2018-05-02,'000001,平安银行,10.88,11.03,10.8,10.97,10.85,0.03,0.2765,0.7037,119052318,1295804420.86,1.86814075662e+11,1.84067918749e+11
2018-04-27,'000001,平安银行,10.85,11.51,10.63,11.49,11.42,-0.57,-4.9912,1.6017,270979568,2958464277.86,1.86298963321e+11,1.83560378532e+11
2018-04-26,'000001,平安银行,11.42,11.69,11.31,11.66,11.68,-0.26,-2.226,0.5167,87423591,1002483154.12,1.960860978e+11,1.93203642658e+11
2018-04-25,'000001,平安银行,11.68,11.81,11.63,11.76,11.86,-0.18,-1.5177,0.4317,73028648,854713248.88,2.00550404755e+11,1.9760232454e+11
2018-04-24,'000001,平安银行,11.86,11.94,11.58,11.63,11.57,0.29,2.5065,0.8636,146109880,1725152198.09,2.03641078801e+11,2.00647565843e+11
2018-04-23,'000001,平安银行,11.57,11.61,11.26,11.3,11.35,0.22,1.9383,0.6326,107028935,1228544006.32,1.98661659505e+11,1.95741343744e+11
2018-04-20,'000001,平安银行,11.35,11.58,11.2,11.51,11.47,-0.12,-1.0462,0.5667,95869066,1090801311.42,1.94884169004e+11,1.92019382151e+11
2018-04-19,'000001,平安银行,11.47,11.69,11.42,11.52,11.5,-0.03,-0.2609,0.5019,84913183,979593564.6,1.96944618368e+11,1.9404954302e+11
2018-04-18,'000001,平安银行,11.5,11.61,11.28,11.45,11.21,0.29,2.587,0.8724,147584533,1692722923.5,1.97459730709e+11,1.94557083237e+11
2018-04-17,'000001,平安银行,11.21,11.45,11.11,11.12,11.1,0.11,0.991,0.7695,130189172,1468159349.66,1.92480311413e+11,1.89650861138e+11
2018-04-16,'000001,平安银行,11.1,11.47,11.03,11.47,11.57,-0.47,-4.0622,0.8435,142707281,1593706086.4,1.90591566163e+11,1.87789880342e+11
2018-04-13,'000001,平安银行,11.57,11.79,11.45,11.64,11.52,0.05,0.434,0.7686,130025597,1516155527.17,1.98661659505e+11,1.95741343744e+11
2018-04-12,'000001,平安银行,11.52,11.83,11.42,11.8,11.83,-0.31,-2.6205,0.6934,117312818,1364675848.46,1.97803138936e+11,1.94895443382e+11
2018-04-11,'000001,平安银行,11.83,11.92,11.38,11.39,11.42,0.41,3.5902,1.2389,209597045,2458982163.44,2.0312596646e+11,2.00140025626e+11
2018-04-10,'000001,平安银行,11.42,11.46,10.97,11.02,11.02,0.4,3.6298,0.8222,139095079,1562265089.74,1.960860978e+11,1.93203642658e+11
2018-04-09,'000001,平安银行,11.02,11.1,10.73,10.8,10.87,0.15,1.3799,0.6353,107479576,1180084371.59,1.89217933253e+11,1.86436439763e+11
2018-04-04,'000001,平安银行,10.87,11.01,10.6,10.68,10.56,0.31,2.9356,0.9472,160248873,1737258898.28,1.86642371548e+11,1.83898738677e+11
2018-04-03,'000001,平安银行,10.56,10.67,10.51,10.6,10.71,-0.15,-1.4006,0.5265,89074565,942237800.69,1.81319544025e+11,1.78654156433e+11
2018-04-02,'000001,平安银行,10.71,10.99,10.7,10.87,10.9,-0.19,-1.7431,0.6557,110931643,1200911980.38,1.8389510573e+11,1.81191857519e+11
2018-03-30,'000001,平安银行,10.9,11.05,10.88,11.04,11.05,-0.15,-1.3575,0.4446,75217368,823438180.73,1.87157483889e+11,1.84406278894e+11
2018-03-29,'000001,平安银行,11.05,11.17,10.55,10.92,10.89,0.16,1.4692,0.7865,133060238,1445281829.86,1.89733045594e+11,1.8694397998e+11
2018-03-28,'000001,平安银行,10.89,11.14,10.79,10.85,10.94,-0.05,-0.457,0.6496,109902339,1201023442.21,1.86985779776e+11,1.84237098822e+11
2018-03-27,'000001,平安银行,10.94,11.17,10.86,11.1,10.93,0.01,0.0915,0.6525,110393361,1213989931.18,1.87844300344e+11,1.85082999184e+11
2018-03-26,'000001,平安银行,10.93,11.2,10.86,11.15,11.34,-0.41,-3.6155,0.8178,138359851,1519435011.09,1.8767259623e+11,1.84913819111e+11
2018-03-23,'000001,平安银行,11.34,11.35,10.92,11.25,11.66,-0.32,-2.7444,1.0791,182569075,2037734400.09,1.9471246489e+11,1.91850202079e+11
2018-03-22,'000001,平安银行,11.66,11.97,11.62,11.9,11.9,-0.24,-2.0168,0.5818,98427842,1155741055.87,2.00206996528e+11,1.97263964395e+11
2018-03-21,'000001,平安银行,11.9,12.12,11.85,11.95,11.82,0.08,0.6768,0.8542,144510951,1736437401.21,2.04327895255e+11,2.01324286132e+11
2018-03-20,'000001,平安银行,11.82,11.88,11.72,11.74,11.83,-0.01,-0.0845,0.4588,77615002,916858475.86,2.02954262346e+11,1.99970845553e+11
2018-03-19,'000001,平安银行,11.83,11.84,11.61,11.66,11.64,0.19,1.6323,0.4779,80853872,947664744.37,2.0312596646e+11,2.00140025626e+11
2018-03-16,'000001,平安银行,11.64,11.85,11.64,11.72,11.71,-0.07,-0.5978,0.5692,96298338,1130784170.87,1.998635883e+11,1.9692560425e+11
2018-03-15,'000001,平安银行,11.71,11.85,11.66,11.79,11.92,-0.21,-1.7617,0.6831,115569473,1356878634.17,2.01065517096e+11,1.98109864757e+11
2018-03-14,'000001,平安银行,11.92,12.0,11.83,11.98,12.02,-0.1,-0.8319,0.3757,63559413,757090756.43,2.04671303483e+11,2.01662646277e+11
2018-03-13,'000001,平安银行,12.02,12.22,12.0,12.04,12.03,-0.01,-0.0831,0.6397,108226732,1309543466.56,2.06388344619e+11,2.03354447001e+11
2018-03-12,'000001,平安银行,12.03,12.17,11.95,12.15,12.09,-0.06,-0.4963,0.7499,126870132,1526643478.92,2.06560048733e+11,2.03523627073e+11
2018-03-09,'000001,平安银行,12.09,12.2,11.98,12.15,12.11,-0.02,-0.1652,0.5579,94387697,1139043574.63,2.07590273415e+11,2.04538707507e+11
2018-03-08,'000001,平安银行,12.11,12.15,11.95,12.05,12.05,0.06,0.4979,0.4077,68975503,832153697.14,2.07933681642e+11,2.04877067652e+11
2018-03-07,'000001,平安银行,12.05,12.34,12.04,12.15,12.1,-0.05,-0.4132,0.8438,142757032,1744085270.04,2.0690345696e+11,2.03861987218e+11
2018-03-06,'000001,平安银行,12.1,12.11,11.77,11.95,11.86,0.24,2.0236,0.6798,115016249,1373438382.66,2.07761977529e+11,2.0470788758e+11
2018-03-05,'000001,平安银行,11.86,12.08,11.8,11.93,11.95,-0.09,-0.7531,0.4458,75418313,897244265.05,2.03641078801e+11,2.00647565843e+11
2018-03-02,'000001,平安银行,11.95,12.04,11.85,11.92,12.04,-0.09,-0.7475,0.392,66312416,791736473.27,2.05186415824e+11,2.02170186494e+11
2018-03-01,'000001,平安银行,12.04,12.15,11.9,11.92,12.05,-0.01,-0.083,0.5243,88695718,1069354491.03,2.06731752847e+11,2.03692807146e+11
2018-02-28,'000001,平安银行,12.05,12.19,11.93,12.1,12.28,-0.23,-1.873,0.7177,121414559,1463313702.75,2.0690345696e+11,2.03861987218e+11
2018-02-27,'000001,平安银行,12.28,12.7,12.19,12.64,12.63,-0.35,-2.7712,0.7601,128586906,1590018492.14,2.10852651574e+11,2.07753128883e+11
2018-02-26,'000001,平安银行,12.63,12.85,12.45,12.77,12.61,0.02,0.1586,0.6181,104575874,1318960463.96,2.16862295553e+11,2.13674431416e+11
2018-02-23,'000001,平安银行,12.61,12.79,12.45,12.58,12.46,0.15,1.2039,0.5992,101366320,1278185721.74,2.16518887325e+11,2.13336071271e+11
2018-02-22,'000001,平安银行,12.46,12.53,12.25,12.25,12.0,0.46,3.8333,0.7497,126840607,1573562575.57,2.1394332562e+11,2.10798370185e+11
2018-02-14,'000001,平安银行,12.0,12.03,11.76,11.96,11.94,0.06,0.5025,0.5108,86419024,1030474410.44,2.06044936392e+11,2.03016086856e+11
2018-02-13,'000001,平安银行,11.94,12.21,11.84,11.87,11.72,0.22,1.8771,0.7673,129817869,1562420005.24,2.0501471171e+11,2.02001006422e+11
2018-02-12,'000001,平安银行,11.72,11.84,11.56,11.78,11.69,0.03,0.2566,0.7263,122878244,1439644312.04,2.0123722121e+11,1.98279044829e+11
2018-02-09,'000001,平安银行,11.69,12.08,11.38,12.08,12.54,-0.85,-6.7783,1.6698,282494975,3308553501.52,2.00722108869e+11,1.97771504612e+11
2018-02-08,'000001,平安银行,12.54,12.92,12.53,12.83,12.92,-0.38,-2.9412,1.2636,213781506,2711464886.05,2.1531695853e+11,2.12151810765e+11
2018-02-07,'000001,平安银行,12.92,14.3,12.76,14.22,14.0,-1.08,-7.7143,1.9776,334571697,4521586590.19,2.21841714849e+11,2.18580653515e+11
2018-02-06,'000001,平安银行,14.0,14.33,13.93,14.23,14.55,-0.55,-3.7801,1.5267,258287204,3641294710.26,2.40385759124e+11,2.36852101332e+11
2018-02-05,'000001,平安银行,14.55,14.57,13.73,13.8,14.05,0.5,3.5587,1.3784,233199790,3326355314.78,2.49829485375e+11,2.46157005313e+11
2018-02-02,'000001,平安银行,14.05,14.1,13.63,13.91,14.03,0.02,0.1426,0.6954,117651271,1637619618.32,2.41244279692e+11,2.37698001694e+11
