日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2015-09-11,'000004,工业指数,2573.717,2593.698,2541.322,2564.869,2569.329,4.388,0.1708,119972722,1.36131590176e+11
2015-09-10,'000004,工业指数,2569.329,2615.434,2560.437,2569.877,2616.759,-47.43,-1.8125,148206005,1.65296696449e+11
2015-09-09,'000004,工业指数,2616.759,2625.682,2543.6,2557.423,2543.653,73.106,2.8741,199821698,2.2246389695e+11
2015-09-08,'000004,工业指数,2543.653,2548.718,2409.711,2448.291,2468.267,75.386,3.0542,129874607,1.39734229556e+11
2015-09-07,'000004,工业指数,2468.267,2572.806,2455.866,2499.713,2490.448,-22.181,-0.8906,147691879,1.602092298e+11
2015-09-02,'000004,工业指数,2490.448,2552.11,2408.163,2417.475,2533.032,-42.584,-1.6811,192096213,2.03622698006e+11
2015-09-01,'000004,工业指数,2533.032,2566.909,2471.228,2566.909,2599.985,-66.953,-2.5751,199742991,2.06060852347e+11
2015-08-31,'000004,工业指数,2599.985,2620.6,2539.021,2620.6,2638.71,-38.725,-1.4676,203801326,2.32318058271e+11
2015-08-28,'000004,工业指数,2638.71,2639.676,2522.548,2536.331,2495.89,142.82,5.7222,229155469,2.55982248261e+11
2015-08-27,'000004,工业指数,2495.89,2497.134,2359.718,2429.795,2391.889,104.001,4.3481,204262687,2.15992090817e+11
2015-08-26,'000004,工业指数,2391.889,2540.534,2337.445,2461.553,2458.35,-66.461,-2.7035,238823785,2.47695773573e+11
2015-08-25,'000004,工业指数,2458.35,2568.452,2449.827,2483.225,2667.271,-208.921,-7.8328,163586883,1.81666501792e+11
2015-08-24,'000004,工业指数,2667.271,2795.399,2646.292,2780.667,2899.769,-232.498,-8.0178,156678391,1.80749655007e+11
2015-08-21,'000004,工业指数,2899.769,3022.778,2882.806,2985.363,3035.884,-136.115,-4.4835,200061083,2.54017841134e+11
2015-08-20,'000004,工业指数,3035.884,3145.594,3034.754,3114.286,3155.468,-119.584,-3.7897,214927977,2.83096077573e+11
2015-08-19,'000004,工业指数,3155.468,3171.724,2936.182,3012.04,3113.333,42.135,1.3534,257979920,3.37153166045e+11
2015-08-18,'000004,工业指数,3113.333,3338.566,3105.027,3330.897,3325.98,-212.647,-6.3935,298624570,4.06275228701e+11
2015-08-17,'000004,工业指数,3325.98,3329.673,3248.808,3273.362,3289.005,36.975,1.1242,258086231,3.58830406043e+11
2015-08-14,'000004,工业指数,3289.005,3323.99,3264.18,3299.834,3279.743,9.262,0.2824,262047460,3.72481258039e+11
2015-08-13,'000004,工业指数,3279.743,3280.841,3166.424,3197.669,3214.439,65.304,2.0316,242588207,3.34585960226e+11
2015-08-12,'000004,工业指数,3214.439,3267.685,3198.04,3208.075,3246.406,-31.967,-0.9847,246694729,3.45975622318e+11
2015-08-11,'000004,工业指数,3246.406,3287.212,3207.963,3235.43,3227.968,18.438,0.5712,302266138,4.12416332688e+11
2015-08-10,'000004,工业指数,3227.968,3241.437,3101.484,3109.382,3068.046,159.922,5.2125,267368314,3.69402222713e+11
2015-08-07,'000004,工业指数,3068.046,3075.24,3012.073,3016.144,2990.536,77.51,2.5918,193940678,2.65889870321e+11
2015-08-06,'000004,工业指数,2990.536,3029.152,2941.491,2951.237,3013.999,-23.463,-0.7785,155964815,2.13219192212e+11
2015-08-05,'000004,工业指数,3013.999,3092.812,2994.443,3051.056,3057.701,-43.702,-1.4292,209957246,2.88201821903e+11
2015-08-04,'000004,工业指数,3057.701,3057.98,2918.58,2931.116,2927.634,130.067,4.4427,198218354,2.65068111318e+11
2015-08-03,'000004,工业指数,2927.634,2967.33,2865.752,2944.044,2988.57,-60.936,-2.039,186889165,2.43360982952e+11
2015-07-31,'000004,工业指数,2988.57,3051.646,2949.493,2987.89,3037.855,-49.285,-1.6224,184011276,2.53396437553e+11
2015-07-30,'000004,工业指数,3037.855,3156.596,3018.158,3086.797,3096.909,-59.054,-1.9069,251950187,3.51851369512e+11
2015-07-29,'000004,工业指数,3096.909,3098.557,2929.888,3003.719,2972.466,124.443,4.1865,232902874,3.08742846312e+11
2015-07-28,'000004,工业指数,2972.466,3073.843,2878.296,2918.936,3061.784,-89.318,-2.9172,288718574,3.60739754207e+11
2015-07-27,'000004,工业指数,3061.784,3333.538,3057.847,3268.009,3348.357,-286.573,-8.5586,296982014,4.01096140972e+11
2015-07-24,'000004,工业指数,3348.357,3451.041,3321.351,3381.009,3381.688,-33.331,-0.9856,351927708,4.91294611219e+11
2015-07-23,'000004,工业指数,3381.688,3388.098,3285.374,3292.219,3296.079,85.609,2.5973,307189411,4.18451704923e+11
